word,cefr_level,translation_ar
about,A1,حول
after,A1,بعد
again,A1,مرة أخرى
airport,A1,مطار
always,A1,دائماً
animal,A1,حيوان
answer,A1,إجابة
apple,A1,تفاحة
bag,A1,حقيبة
banana,A1,موزة
beautiful,A1,جميل
because,A1,لأن
bed,A1,سرير
big,A1,كبير
book,A1,كتاب
boy,A1,ولد
bread,A1,خبز
breakfast,A1,فطور
brother,A1,أخ
car,A1,سيارة
cat,A1,قطة
chair,A1,كرسي
city,A1,مدينة
class,A1,صف
clean,A1,نظيف
coffee,A1,قهوة
cold,A1,بارد
color,A1,لون
come,A1,يأتي
day,A1,يوم
doctor,A1,طبيب
dog,A1,كلب
door,A1,باب
drink,A1,يشرب
eat,A1,يأكل
family,A1,عائلة
father,A1,أب
food,A1,طعام
friend,A1,صديق
girl,A1,فتاة
good,A1,جيد
happy,A1,سعيد
house,A1,منزل
know,A1,يعرف
learn,A1,يتعلم
like,A1,يحب
listen,A1,يستمع
live,A1,يعيش
love,A1,يحب
make,A1,يصنع
morning,A1,صباح
mother,A1,أم
name,A1,اسم
new,A1,جديد
night,A1,ليل
open,A1,يفتح
people,A1,ناس
play,A1,يلعب
read,A1,يقرأ
school,A1,مدرسة
see,A1,يرى
small,A1,صغير
speak,A1,يتحدث
student,A1,طالب
teacher,A1,معلم
time,A1,وقت
today,A1,اليوم
water,A1,ماء
week,A1,أسبوع
work,A1,عمل
write,A1,يكتب
year,A1,سنة
ability,A2,قدرة
accept,A2,يقبل
accident,A2,حادث
advice,A2,نصيحة
afraid,A2,خائف
agree,A2,يوافق
almost,A2,تقريباً
alone,A2,وحيد
arrive,A2,يصل
attention,A2,انتباه
available,A2,متاح
bank,A2,بنك
believe,A2,يصدق
borrow,A2,يستعير
break,A2,يكسر
bridge,A2,جسر
busy,A2,مشغول
carry,A2,يحمل
celebrate,A2,يحتفل
choose,A2,يختار
climb,A2,يتسلق
comfortable,A2,مريح
compare,A2,يقارن
complete,A2,يكمل
continue,A2,يواصل
dangerous,A2,خطير
decide,A2,يقرر
delicious,A2,لذيذ
describe,A2,يصف
different,A2,مختلف
difficult,A2,صعب
discover,A2,يكتشف
early,A2,مبكر
environment,A2,بيئة
excited,A2,متحمس
expensive,A2,غالي الثمن
experience,A2,تجربة
explain,A2,يشرح
famous,A2,مشهور
fast,A2,سريع
finish,A2,ينهي
follow,A2,يتبع
foreign,A2,أجنبي
forget,A2,ينسى
future,A2,مستقبل
government,A2,حكومة
guest,A2,ضيف
health,A2,صحة
history,A2,تاريخ
holiday,A2,عطلة
hospital,A2,مستشفى
important,A2,مهم
improve,A2,يحسّن
information,A2,معلومات
interesting,A2,مثير للاهتمام
invite,A2,يدعو
journey,A2,رحلة
language,A2,لغة
luggage,A2,أمتعة
market,A2,سوق
message,A2,رسالة
mountain,A2,جبل
museum,A2,متحف
nature,A2,طبيعة
neighbor,A2,جار
newspaper,A2,جريدة
passenger,A2,راكب
passport,A2,جواز سفر
patient,A2,صبور
possible,A2,ممكن
practice,A2,يتمرن
prepare,A2,يستعد
present,A2,هدية
promise,A2,وعد
quickly,A2,بسرعة
receive,A2,يستقبل
remember,A2,يتذكر
repeat,A2,يكرر
restaurant,A2,مطعم
return,A2,يعود
save,A2,يوفر
scared,A2,خائف
station,A2,محطة
stay,A2,يبقى
suddenly,A2,فجأة
surprise,A2,مفاجأة
tired,A2,متعب
tourist,A2,سائح
travel,A2,يسافر
understand,A2,يفهم
useful,A2,مفيد
village,A2,قرية
visit,A2,يزور
weather,A2,طقس
wonderful,A2,رائع
achieve,B1,يحقق
admire,B1,يعجب بـ
advantage,B1,ميزة
ambition,B1,طموح
analyze,B1,يحلل
ancient,B1,قديم
announce,B1,يعلن
anxious,B1,قلق
apologize,B1,يعتذر
appearance,B1,مظهر
application,B1,طلب / تطبيق
appreciate,B1,يقدّر
approach,B1,نهج / يقترب
argument,B1,جدال
atmosphere,B1,أجواء
attitude,B1,موقف
audience,B1,جمهور
average,B1,متوسط
avoid,B1,يتجنب
behave,B1,يتصرف
benefit,B1,فائدة
campaign,B1,حملة
challenge,B1,تحدي
character,B1,شخصية
charity,B1,جمعية خيرية
colleague,B1,زميل
communicate,B1,يتواصل
community,B1,مجتمع
confidence,B1,ثقة
convince,B1,يقنع
culture,B1,ثقافة
curious,B1,فضولي
current,B1,حالي
customer,B1,زبون
develop,B1,يطور
disappointed,B1,خائب الأمل
economy,B1,اقتصاد
educate,B1,يعلّم
effect,B1,تأثير
efficient,B1,فعال
effort,B1,جهد
embarrassed,B1,محرج
emergency,B1,طوارئ
employee,B1,موظف
